Browser,URL,Title,Visit Count,Last Visit Time
Chrome,https://github.com/Dhayalan-05/tool,Dhayalan-05/tool,53,2025-09-19 10:03:32.704275
Chrome,https://github.com/Dhayalan-05,Dhayalan-05 (Dhayalan),45,2025-09-19 10:03:29.594437
Chrome,http://github.com/Dhayalan-05,Dhayalan-05 (Dhayalan),12,2025-09-19 10:02:53.489623
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263869&cmid=1330&page=5,L1 - Practice - DB - 2 (page 6 of 25) | SIET - LMS,1,2025-09-19 09:59:45.493565
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263869&cmid=1330&page=4,L1 - Practice - DB - 2 (page 5 of 25) | SIET - LMS,1,2025-09-19 09:58:57.487187
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263869&cmid=1330&page=3,L1 - Practice - DB - 2 (page 4 of 25) | SIET - LMS,1,2025-09-19 09:58:27.739670
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263869&cmid=1330&page=2,L1 - Practice - DB - 2 (page 3 of 25) | SIET - LMS,1,2025-09-19 09:52:45.366796
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263869&cmid=1330&page=1,L1 - Practice - DB - 2 (page 2 of 25) | SIET - LMS,1,2025-09-19 09:51:41.982765
Chrome,https://chatgpt.com/c/68cd27a3-2cd4-8321-890d-1d802f316b44,Key type identification,1,2025-09-19 09:51:29.538865
Chrome,https://chatgpt.com/,ChatGPT,95,2025-09-19 09:50:16.299891
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263869&cmid=1330,L1 - Practice - DB - 2 (page 1 of 25) | SIET - LMS,1,2025-09-19 09:48:32.617922
Chrome,http://110.172.151.102/mod/quiz/view.php?id=1330,2028-DBMS: L1 - Practice - DB - 2 | SIET - LMS,1,2025-09-19 09:48:21.382361
Chrome,http://110.172.151.102/login/index.php?testsession=3157,Course: 2028 Database Management Systems | SIET - LMS,4,2025-09-19 09:48:16.260063
Chrome,http://110.172.151.102/course/view.php?id=36,Course: 2028 Database Management Systems | SIET - LMS,8,2025-09-19 09:48:16.260063
Chrome,http://110.172.151.102/login/index.php,SIET-LMS - Login,87,2025-09-19 09:48:11.106467
Chrome,http://110.172.151.102/LMS/index.html?errorcode=4,SIET-LMS - Login,20,2025-09-19 09:48:11.106467
Chrome,http://110.172.151.102/my/,Dashboard | SIET - LMS,78,2025-09-19 09:48:00.698209
Chrome,http://110.172.151.102/,SIET-LMS - Login,80,2025-09-19 09:47:33.597480
Chrome,http://110.172.151.102/LMS/index.html,SIET-LMS - Login,72,2025-09-19 09:47:33.597480
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263839&cmid=1319&page=2,L1 - Practice - DB - 1 - ER MCQ (page 3 of 25) | SIET - LMS,1,2025-09-19 09:46:01.501157
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263839&cmid=1319&page=1,L1 - Practice - DB - 1 - ER MCQ (page 2 of 25) | SIET - LMS,1,2025-09-19 09:44:26.921763
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263839&cmid=1319,L1 - Practice - DB - 1 - ER MCQ (page 1 of 25) | SIET - LMS,1,2025-09-19 09:44:09.718957
Chrome,http://110.172.151.102/mod/quiz/view.php?id=1319,2028-DBMS: L1 - Practice - DB - 1 - ER MCQ | SIET - LMS,6,2025-09-19 09:43:15.987743
Chrome,http://110.172.151.102/mod/quiz/review.php?attempt=263726&cmid=1319,2028-DBMS: L1 - Practice - DB - 1 - ER MCQ | SIET - LMS,1,2025-09-19 09:43:15.987743
Chrome,http://110.172.151.102/mod/quiz/summary.php?attempt=263726&cmid=1319,L1 - Practice - DB - 1 - ER MCQ: Attempt summary | SIET - LMS,1,2025-09-19 09:42:57.660000
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263726&cmid=1319&page=24,L1 - Practice - DB - 1 - ER MCQ (page 25 of 25) | SIET - LMS,1,2025-09-19 09:42:33.958594
Chrome,https://chatgpt.com/c/68cd2006-e47c-8325-98de-e18cf02de6b0,ChatGPT,1,2025-09-19 09:40:46.755487
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263726&cmid=1319&page=23,L1 - Practice - DB - 1 - ER MCQ (page 24 of 25) | SIET - LMS,1,2025-09-19 09:39:18.248212
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263726&cmid=1319&page=22,L1 - Practice - DB - 1 - ER MCQ (page 23 of 25) | SIET - LMS,1,2025-09-19 09:39:08.184554
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263726&cmid=1319&page=21,L1 - Practice - DB - 1 - ER MCQ (page 22 of 25) | SIET - LMS,1,2025-09-19 09:37:26.838370
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263726&cmid=1319&page=20,L1 - Practice - DB - 1 - ER MCQ (page 21 of 25) | SIET - LMS,1,2025-09-19 09:37:09.286427
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263726&cmid=1319&page=19,L1 - Practice - DB - 1 - ER MCQ (page 20 of 25) | SIET - LMS,1,2025-09-19 09:36:48.130167
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263726&cmid=1319&page=18,L1 - Practice - DB - 1 - ER MCQ (page 19 of 25) | SIET - LMS,1,2025-09-19 09:36:22.128149
Chrome,http://110.172.151.102/mod/quiz/attempt.php?attempt=263726&cmid=1319&page=17,L1 - Practice - DB - 1 - ER MCQ (page 18 of 25) | SIET - LMS,1,2025-09-19 09:36:03.143280
